pmid,cited_pmid
MEDLINE:26195705,
MEDLINE:26169616,
MEDLINE:26152670,
MEDLINE:26152105,
MEDLINE:26113100,
MEDLINE:25988782,MEDLINE:23116093
MEDLINE:25988782,MEDLINE:22333701
MEDLINE:25988782,
MEDLINE:25988782,MEDLINE:20656933
MEDLINE:25988782,MEDLINE:20809713
MEDLINE:25988782,MEDLINE:19907195
MEDLINE:25988782,MEDLINE:20087127
MEDLINE:25988782,MEDLINE:19645551
MEDLINE:25988782,MEDLINE:4594506
MEDLINE:25988782,MEDLINE:7438840
MEDLINE:25988782,MEDLINE:1669249
MEDLINE:25988782,MEDLINE:18352803
MEDLINE:25988782,MEDLINE:18352782
MEDLINE:25988782,MEDLINE:17460524
MEDLINE:25988782,
MEDLINE:25988782,
MEDLINE:25988782,MEDLINE:16708249
MEDLINE:25988782,MEDLINE:3552176
MEDLINE:25988782,MEDLINE:6229176
MEDLINE:25988782,MEDLINE:3510475
MEDLINE:25988782,
MEDLINE:25988782,MEDLINE:7024840
MEDLINE:25988782,MEDLINE:12182777
MEDLINE:25988782,MEDLINE:7037325
MEDLINE:25988782,MEDLINE:6363740
MEDLINE:25988782,MEDLINE:3175838
MEDLINE:25988782,MEDLINE:3886851
MEDLINE:25988782,MEDLINE:2510054
MEDLINE:25988782,MEDLINE:1296606
MEDLINE:25988782,MEDLINE:3553455
MEDLINE:25988782,MEDLINE:3054011
MEDLINE:25988782,MEDLINE:8874978
MEDLINE:25988782,MEDLINE:3895024
MEDLINE:25988782,MEDLINE:8836287
MEDLINE:25988782,MEDLINE:6723425
MEDLINE:25988782,MEDLINE:8353253
MEDLINE:25988782,MEDLINE:8374921
MEDLINE:25988782,MEDLINE:7646627
MEDLINE:25988782,MEDLINE:8869711
MEDLINE:25988782,MEDLINE:1127260
MEDLINE:25988782,MEDLINE:501424
MEDLINE:25988782,MEDLINE:8121573
MEDLINE:25988782,MEDLINE:15070792
MEDLINE:25988782,MEDLINE:3802833
MEDLINE:25988781,
MEDLINE:25988781,MEDLINE:22546022
MEDLINE:25988781,MEDLINE:22205533
MEDLINE:25988781,MEDLINE:21740121
MEDLINE:25988781,MEDLINE:21952534
MEDLINE:25988781,MEDLINE:20646829
MEDLINE:25988781,MEDLINE:20157714
MEDLINE:25988781,MEDLINE:19951042
MEDLINE:25988781,MEDLINE:19772417
MEDLINE:25988781,
MEDLINE:25988781,MEDLINE:9497118
MEDLINE:25988781,MEDLINE:17924120
MEDLINE:25988781,MEDLINE:17965562
MEDLINE:25988781,MEDLINE:17566199
MEDLINE:25988781,MEDLINE:17330533
MEDLINE:25988781,MEDLINE:17028879
MEDLINE:25988781,MEDLINE:17106749
MEDLINE:25988781,MEDLINE:16544218
MEDLINE:25988781,MEDLINE:15682319
MEDLINE:25988781,MEDLINE:16383248
MEDLINE:25988781,MEDLINE:15926385
MEDLINE:25988781,MEDLINE:15886507
